300	136	16	14	10	140
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	37	1	1	134	136	1	1	121	1	1	1	1
1	1	1	1	38	45	66	135	137	106	115	122	1	1	1	1
1	1	1	37	44	55	67	132	133	107	116	123	121	1	1	1
1	1	1	38	45	56	68	82	95	108	117	115	127	1	1	1
1	1	16	39	46	47	69	83	96	109	118	124	128	130	1	1
1	16	31	40	47	57	70	84	97	110	119	118	129	131	130	1
2	17	2	17	2	58	71	85	98	111	120	19	2	17	2	17
3	18	3	18	3	58	72	86	99	112	120	18	3	18	3	18
2	19	2	19	2	58	73	87	100	88	120	19	2	19	2	19
3	18	3	18	3	58	73	88	73	88	120	18	3	18	3	18
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
5	20	5	20	5	20	5	20	5	20	5	20	5	20	5	20
6	21	6	21	6	21	6	21	6	21	6	21	6	21	6	21
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
5	20	5	20	5	20	5	20	5	20	5	20	5	20	5	20
6	21	6	21	6	21	6	21	6	21	6	21	6	21	6	21
5	20	5	20	5	20	5	20	4	4	4	4	4	4	4	4
6	21	6	21	6	21	6	21	6	21	6	21	6	21	6	21
5	20	4	4	4	4	5	20	5	20	5	20	5	20	5	20
6	21	6	21	6	21	6	21	6	21	6	21	6	21	6	21
5	20	5	20	5	20	5	20	5	20	4	4	4	4	4	4
4	4	4	4	4	4	4	4	6	21	6	21	6	21	6	21
5	20	5	20	5	20	5	20	5	20	5	20	5	20	5	20
6	21	6	21	6	21	4	4	4	4	4	4	6	21	6	21
5	20	5	20	5	20	5	20	5	20	5	20	5	20	5	20
4	4	4	4	4	4	6	21	6	21	6	21	6	21	6	21
5	20	5	20	5	20	5	20	4	4	4	4	4	4	4	4
6	21	6	21	6	21	6	21	6	21	6	21	6	21	6	21
4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	21
5	20	5	20	5	20	5	20	5	20	5	20	5	20	5	20
6	21	6	21	6	22	32	1	101	21	4	4	4	4	4	4
5	20	5	20	7	23	1	1	102	113	5	20	5	20	5	20
6	22	32	1	1	1	1	1	1	1	1	1	4	4	4	4
7	23	1	1	1	1	1	1	1	1	1	1	102	113	5	20
1	1	1	1	1	1	1	1	1	1	1	1	1	1	101	21
1	1	1	1	1	1	1	1	1	1	1	1	1	1	102	113
8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
4	4	4	4	4	4	34	13	13	13	13	13	13	13	13	13
9	24	9	24	9	26	34	13	13	13	13	13	13	13	13	13
10	25	10	25	11	27	13	13	13	13	13	13	13	13	13	13
9	24	4	4	4	4	4	4	34	13	13	13	13	13	13	13
10	25	10	25	10	25	10	25	34	28	4	4	4	4	4	4
9	24	9	24	9	26	33	41	13	28	9	24	9	24	9	24
9	24	33	41	48	41	13	13	13	13	48	59	4	4	9	24
10	25	34	13	13	13	13	13	13	13	13	28	10	25	10	25
9	26	13	28	4	4	4	4	4	4	34	28	4	4	4	4
11	27	13	28	10	25	10	25	10	25	34	28	10	25	10	25
12	13	13	28	9	24	9	26	33	41	13	13	48	59	9	24
13	13	4	4	4	4	4	4	34	13	13	13	13	28	10	25
13	28	14	24	9	24	9	26	34	13	13	13	13	13	48	41
13	13	15	29	4	4	4	4	4	4	4	4	4	4	34	13
13	13	13	30	9	24	9	24	9	24	9	24	9	26	34	13
13	13	13	28	10	25	10	25	10	25	10	25	11	27	13	13
13	13	13	28	14	24	9	24	4	4	4	4	49	13	13	13
13	13	13	13	15	29	10	25	10	25	10	25	34	13	13	13
4	4	34	28	4	4	4	4	4	4	9	26	34	13	13	13
10	25	34	28	10	25	10	25	10	25	11	27	13	13	13	13
9	24	34	13	48	59	9	24	9	24	4	4	4	4	34	13
9	24	34	13	13	28	14	24	9	24	9	24	9	24	34	13
10	25	34	13	13	13	15	29	4	4	4	4	10	25	34	13
9	14	34	13	13	13	13	12	14	24	9	24	9	26	34	13
10	25	34	13	13	13	13	13	15	29	10	25	11	27	13	13
9	26	34	13	13	13	13	13	13	30	4	4	49	13	13	13
11	27	13	13	13	13	13	13	13	28	10	25	34	13	13	13
12	13	13	13	13	13	13	13	13	13	48	41	13	13	13	13
13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13
4	4	4	4	4	4	34	13	13	13	13	13	13	13	13	13
10	25	10	25	10	25	34	13	13	13	13	13	13	13	13	13
14	24	4	4	4	4	4	4	34	28	4	4	4	4	4	4
15	29	10	25	10	25	10	25	34	28	10	25	10	25	10	25
13	30	9	24	9	26	48	41	13	28	14	24	9	24	9	26
13	28	10	25	11	27	13	13	13	13	15	29	4	4	4	4
4	4	4	4	49	13	13	13	13	13	13	12	14	24	9	24
9	24	9	24	34	13	13	13	13	13	13	13	48	41	48	41
10	25	4	4	4	4	34	13	13	13	13	13	13	13	13	13
9	24	9	24	9	26	34	28	4	4	4	4	4	4	34	13
4	4	4	4	11	27	13	28	10	25	10	25	10	25	34	13
14	24	9	26	12	13	13	28	14	24	4	4	4	4	4	4
15	29	11	27	13	13	13	13	15	29	10	25	10	25	10	25
13	12	12	13	13	13	13	13	13	12	14	24	4	4	4	4
13	13	13	13	13	13	13	13	13	13	15	29	10	25	10	25
